gene,outcome,gsmr_beta,gsmr_se,gsmr_pval,gsmr_nsnp,heidi_out,Q_MR_Egger,Q_Inverse_variance_weighted,Q_df_MR_Egger,Q_df_Inverse_variance_weighted,Q_pval_MR_Egger,Q_pval_Inverse_variance_weighted,nsnp,b_MR_Egger,b_Weighted_median,b_Inverse_variance_weighted,b_Simple_mode,se_MR_Egger,se_Weighted_median,se_Inverse_variance_weighted,se_Simple_mode,pval_MR_Egger,pval_Weighted_median,pval_Inverse_variance_weighted,pval_Simple_mode,r2_exposure,r2_oucome,correct_dir,steiger_pval,H3,H4,causal_snp,pleiotropy_egger_intercept,pleiotropy_se,pleiotropy_pval,mrpresso_pval,adjp_MR_Egger,adjp_Weighted_median,adjp_Inverse_variance_weighted,adjp_Simple_mode,is_candidate
ACTN1,T2D_GSMR,0.171554,0.0299392,1.00375e-8,6,3.614644961977187e-7,4.499128,11.651041,2,3,0.1054452,0.0086794,4,-0.0411239,0.1728576,0.1954468,0.1856664,0.1376836,0.0326601,0.0483362,0.0471292,0.7933572,1e-7,5.27e-5,0.0291458,0.0116261,1.003e-4,TRUE,0,0.886390453010187,0.113553959085463,rs7140680,0.0204374,0.0114621,0.2165185,0.096,0.8899033142857142,8.729411764705881e-7,2.3989815950920248e-4,0.14495080930232557,FALSE
ACTR10,T2D_GSMR,-0.0382052,0.00944627,5.24405e-5,5,7.135976659482759e-4,10.8371,11.61176,2,3,0.0044336,0.0088386,4,-0.0385989,-0.0312684,-0.0308349,-0.0193555,0.0292276,0.0096476,0.0175791,0.0226742,0.3174893,0.0011909,0.0794198,0.4560474,0.0832422,3.12e-5,TRUE,0,0.999913450960975,8.32073215205298e-6,rs79224182,0.0046197,0.0122181,0.7417102,0.234,0.5658559293556086,0.0026696308157099697,0.09436267670136107,0.553825156792144,FALSE
ACVR1,T2D_GSMR,-0.0880172,0.027251,0.00123847,4,0.009865054137931034,30.1429,30.24521,4,5,4.6e-6,1.32e-5,6,1.53e-4,0.0466527,0.0082947,-0.1058605,0.0826371,0.0264998,0.0395271,0.0752295,0.9986118,0.0783247,0.8337867,0.2183952,0.0266518,4.09e-5,TRUE,0,0.480785449886857,0.0130653295511694,rs35160507,0.0016879,0.0144863,0.9128576,0.022,0.9992851727579233,0.09091965598123534,0.838305869105691,0.32803489554655874,FALSE
ADAM17,T2D_GSMR,0.034675,0.012375,0.00507821,13,0.029560987652120466,10.41451,17.06672,10,11,0.4049098,0.1059175,12,-0.01909,0.0382971,0.0469577,0.0362565,0.0299503,0.0190874,0.0178581,0.0288222,0.5381886,0.0448133,0.0085514,0.2344614,0.0346265,3.75e-5,TRUE,0,0.00631744567740078,0.0326139299317022,rs2276337,0.0109207,0.004321,0.0300075,0.154,0.7154713098389983,0.05509771101905551,0.014388069841269842,0.34415501246290797,FALSE
ADAM15,T2D_GSMR,-0.0296786,0.00527729,1.8676e-8,38,6.479135384615386e-7,76.42081,77.32633,34,35,4.2e-5,4.96e-5,36,-0.0165994,-0.0290594,-0.0224735,-0.0417961,0.0116917,0.0086416,0.0070836,0.0168039,0.164782,7.717e-4,0.0015107,0.0177864,0.3253882,1.387e-4,TRUE,0,0.984265439492383,9.73630247704785e-5,rs41264285,-0.0019457,0.0030655,0.5298578,<0.001,0.3912583808,0.0018891051070840197,0.003502935625,0.12778563755868544,FALSE
ADAL,T2D_GSMR,0.0470864,0.0115466,4.54354e-5,12,6.33753569072165e-4,9.250952,11.386934,9,10,0.4144392,0.3281772,11,0.0368322,0.0396681,0.0604688,0.0540747,0.0192696,0.0132035,0.0106541,0.0222,0.0882621,0.0026614,0,0.0351003,0.0721517,6.54e-5,TRUE,0,0.976216170970826,0.00964551347112814,rs1549523,0.006187,0.0042919,0.183307,0.292,0.30262099,0.005089584536082475,0,0.15011194582132567,FALSE
ADAM1A,T2D_GSMR,0.0154958,0.00495717,0.00177235,11,0.013012346395348838,2.724216,2.786141,7,8,0.9092894,0.9470532,9,0.0148401,0.0157192,0.0163126,0.0185781,0.0074763,0.0054527,0.0045696,0.0082433,0.0875408,0.0039414,3.572e-4,0.0542523,0.3536405,2.07e-5,TRUE,0,0.00335671821444553,0.003100357786202,rs12423572,9.723e-4,0.0039072,0.8106219,0.962,0.302117551627907,0.006881220705882353,0.00112784,0.17395224602150539,FALSE
ADAMTSL2,T2D_GSMR,0.111849,0.0190623,4.42267e-9,5,1.7380542560165975e-7,17.34884,61.0077,5,6,0.0038836,0,7,-0.0903615,0.0194724,0.0424077,0.0834824,0.0408533,0.0124949,0.0280264,0.0400347,0.0779225,0.1191319,0.1302449,0.0821361,0.0975992,1.225e-4,TRUE,0,0.954020020926884,1.9580398022279e-5,rs28678509,0.0348332,0.0098199,0.0164363,<0.001,0.28841262443890275,0.13203266587005227,0.14653785564821833,0.2031146602329451,FALSE
ADAMTS13,T2D_GSMR,0.06855,0.0192912,3.80242e-4,3,0.00381490676059322,25.77226,26.6791,3,4,1.06e-5,2.31e-5,5,0.0599595,0.0741819,0.0739226,0.0720617,0.0615906,0.0178347,0.0388736,0.023352,0.4020988,3.19e-5,0.0572215,0.036721,0.0364697,6.96e-5,TRUE,0,0.999999996462776,1.22456351656778e-12,rs739469,0.0033937,0.0104455,0.7665953,0.008,0.6274890359621451,1.3297640449438204e-4,0.0700632887788779,0.15350412394366195,FALSE
ADARB1,T2D_GSMR,0.0853431,0.0110505,1.13614e-14,17,1.3620736632911393e-12,14.61031,15.4358,16,17,0.5533435,0.5641225,18,0.0729145,0.0732561,0.0866373,0.0699955,0.0174312,0.0125092,0.0087019,0.0238397,7.031e-4,0,0,0.0092282,0.1058059,1.541e-4,TRUE,0,0.915722590723606,0.0310335410527511,rs915814,0.0027612,0.003039,0.3770616,0.565,0.04347501666666667,0,0,0.10177931555555556,FALSE
ADAT2,T2D_GSMR,0.0307989,0.011952,0.0099693,5,0.049460052540597176,0.6933901,0.7452357,2,3,0.7070209,0.8625159,4,0.0377584,0.0318664,0.032084,0.0363009,0.0272285,0.0106125,0.0109695,0.0200842,0.2998674,0.0026758,0.0034465,0.1684218,0.0559216,1.22e-5,TRUE,0,0.0116318477849114,0.00888344184486757,rs9496640,-0.0014653,0.0064355,0.8410416,0.929,0.548033524137931,0.005103968123393316,0.006801337765957446,0.2811450519685039,FALSE
ADCK3,T2D_GSMR,0.0140114,0.00451416,0.00191004,57,0.013819701176470588,127.3143,132.928,64,65,4.3e-6,1.4e-6,66,0.0268733,0.0116278,0.0120206,0.0086315,0.010352,0.0060489,0.0054593,0.0116447,0.0116865,0.0545667,0.027676,0.4612174,0.5206411,2.02e-4,TRUE,0,0.0330055006233348,0.0036488352720392,rs12406714,-0.0038003,0.0022623,0.0978557,<0.001,0.14452305000000001,0.06562154197730957,0.037679985321100916,0.5582762003262643,FALSE
ADARB2,T2D_GSMR,-0.0159923,0.0048225,9.12519e-4,43,0.0077096052176628006,60.71739,64.87114,41,42,0.0242283,0.0132904,43,-0.0030014,-0.0112137,-0.015282,-0.0539368,0.0093526,0.0075014,0.0059289,0.0159221,0.7499076,0.1349485,0.0099501,0.0015421,0.2845615,1.138e-4,TRUE,0,0.00268650496976489,0.0016729542202621,rs3793735,-0.0034077,0.0020347,0.1015914,0.02,0.857149496,0.14889485055762083,0.016196265350877193,0.046176144,FALSE
ADCY10P1,T2D_GSMR,0.0173836,0.00501163,5.23094e-4,34,0.004939405058823529,58.15432,77.49561,30,31,0.0015313,7.4e-6,32,-0.0060784,0.0159099,0.0227311,0.0117717,0.0113318,0.0080858,0.0076368,0.0168955,0.5956366,0.0491113,0.0029153,0.4911589,0.273225,1.321e-4,TRUE,0,0.21039545308402,6.9110413405629e-4,rs62396334,0.0080969,0.0025633,0.0036012,<0.001,0.750360538539898,0.05988592374691865,0.005967317517241379,0.5873326410958903,FALSE
ADH5,T2D_GSMR,0.0628099,0.0204211,0.00209986,4,0.014863807219730941,13.71284,14.98977,3,4,0.0033233,0.0047225,5,0.0787653,0.0572639,0.0530295,0.0852094,0.0618725,0.0198633,0.0345654,0.0365751,0.2927029,0.0039402,0.1249857,0.0802776,0.0213491,3.23e-5,TRUE,0,0.232015574584711,0.00566159115108738,rs7683704,-0.0039493,0.007472,0.6337272,0.094,0.5416014890547263,0.006881220705882353,0.1412491302891933,0.20226138947368422,FALSE
ADK,T2D_GSMR,0.0131434,0.00367831,3.5262e-4,47,0.0035756574089935763,100.1724,104.5661,48,49,1.53e-5,6.7e-6,50,0.0069206,0.0135286,0.015465,0.0154626,0.007436,0.005171,0.0045916,0.0105864,0.3566687,0.0088909,7.568e-4,0.150505,0.7884415,1.861e-4,TRUE,0,0.890404635271819,8.94333461454585e-5,rs67594352,0.0041186,0.0028385,0.153287,<0.001,0.5919810156249999,0.013743849583333334,0.0020569435897435898,0.2662090822407628,FALSE
ADM,T2D_GSMR,0.0511807,0.00970505,1.3376e-7,23,3.838912e-6,40.04028,47.86895,20,21,0.0049372,7.165e-4,22,0.0140843,0.0665164,0.0511537,0.0549564,0.0221044,0.0130814,0.0124985,0.0239199,0.5312392,4e-7,4.26e-5,0.0319677,0.0957033,1.135e-4,TRUE,0,0.936306955265926,0.0540149467145711,rs7107290,0.0070686,0.0035746,0.0619348,0.001,0.714024115475113,3.0441025641025636e-6,2.03751768488746e-4,0.14640596061538463,FALSE
ADTRP,T2D_GSMR,-0.0230447,0.00798538,0.0039035,8,0.024069041992187498,2.434069,2.668951,6,7,0.8757722,0.913847,8,-0.0299302,-0.025004,-0.0224649,-0.0284366,0.0168538,0.0083457,0.0068398,0.0115427,0.1260954,0.0027353,0.0010218,0.0432362,0.1477224,1.79e-5,TRUE,0,0.0049446776197065,0.00649075230433107,rs6933892,0.0024187,0.0049907,0.6451117,0.931,0.3428319436928702,0.0051974202304737515,0.0026199392055267705,0.163134538071066,FALSE
AFAP1,T2D_GSMR,-0.0156205,0.00386968,5.42207e-5,51,7.346555789699571e-4,72.00766,83.99281,55,56,0.0615998,0.0091103,57,-0.0017817,-0.0146688,-0.0169805,-0.0100721,0.0061665,0.0048553,0.0038282,0.0100911,0.7737169,0.002518,9.2e-6,0.3225149,0.601349,1.56e-4,TRUE,0,0.110520406002428,0.0105597539717307,rs62290601,-0.0050722,0.0016764,0.0037686,0.008,0.8778255960244649,0.004846578469520103,5.6650622406639006e-5,0.4288638992831541,FALSE
AFF4,T2D_GSMR,-0.0617215,0.0209179,0.00317102,5,0.02054333052631579,11.12389,27.39175,4,5,0.0252064,4.78e-5,6,0.1529472,-0.0778552,-0.080415,-0.0406759,0.1009645,0.0225351,0.0417373,0.0374482,0.2043799,5.506e-4,0.0540175,0.3269635,0.0223187,6.34e-5,TRUE,0,0.998195885680586,2.9978411348953e-4,rs30177,-0.0382914,0.0158319,0.0728721,0.006,0.4467417474302497,0.0014360112478031635,0.06652445643153528,0.4324543975044564,FALSE
AGER,T2D_GSMR,0.0403504,0.0151635,0.00779037,6,0.04140437388888889,69.96087,70.08437,6,7,0,0,8,0.0759433,0.0489496,0.0829203,0.0326446,0.0797953,0.0173282,0.0389966,0.0259748,0.3779836,0.0047304,0.0334742,0.2491454,0.0539377,2.789e-4,TRUE,0,0.999933617485605,6.63825143433156e-5,rs3130342,0.0014969,0.0145454,0.9213858,<0.001,0.6110323119825708,0.008041138144329897,0.04423482885129119,0.3582672224806201,FALSE
AGAP3,T2D_GSMR,-0.0408079,0.0093792,1.35588e-5,16,2.2890444705882352e-4,85.31302,85.92773,17,18,0,0,19,-0.0260018,-0.0469946,-0.0359014,-0.0473669,0.0337188,0.0123601,0.0179016,0.0225564,0.4512117,1.435e-4,0.0449114,0.0500968,0.0948671,1.467e-4,TRUE,0,0.99999999996021,1.7255058763366098e-11,rs4725388,-0.001979,0.0056546,0.7306475,<0.001,0.6620528727272728,4.670043859649123e-4,0.05633856094674556,0.1670468260089686,FALSE
AGPAT9,T2D_GSMR,-0.0360275,0.0120375,0.00276296,13,0.01849328209187279,7.853627,9.45563,10,11,0.6431319,0.5799123,12,-0.0215261,-0.0334371,-0.0375989,-0.033786,0.0162197,0.0128642,0.0100908,0.0214529,0.2139596,0.0093428,1.945e-4,0.1435835,0.0732149,3.11e-5,TRUE,0,0.00346753201760945,0.00361133412661268,rs11731267,-0.0035181,0.0027795,0.2343127,0.638,0.45893729364161856,0.01425738129496403,6.823593380614658e-4,0.26111606658506736,FALSE
AHI1,T2D_GSMR,-0.0152971,0.00415143,2.28908e-4,48,0.002509244986111111,74.9903,75.04296,52,53,0.0201164,0.0248151,54,-0.0126514,-0.0090056,-0.0114774,-0.0213793,0.0075863,0.0057071,0.0044102,0.0106156,0.1013936,0.1145737,0.009255,0.0491031,0.479002,1.148e-4,TRUE,0,0.02817976886791,0.0278663977208218,rs6908428,4.029e-4,0.0021083,0.8491985,0.02,0.3077057308793456,0.12793632114371709,0.015277441601779754,0.16608326287015945,FALSE
AHCYP1,T2D_GSMR,-0.0375834,0.0141359,0.00784372,6,0.04164118392376682,12.43576,12.7027,2,3,0.0019935,0.0053257,4,-0.0540717,-0.0748976,-0.0404314,-0.0764548,0.0745863,0.022035,0.028933,0.0300906,0.5438243,6.762e-4,0.1622883,0.0846188,0.0617941,5.03e-5,TRUE,0,0.019208461493706,0.0157125126745277,rs78347598,0.0042516,0.0205192,0.8550359,0.125,0.7172835652173913,0.0016960716216216213,0.1780013578713969,0.20409612109500805,FALSE
AHNAK,T2D_GSMR,0.0653931,0.0212156,0.00205403,5,0.014593937081770444,5.195407,10.996279,3,4,0.1580351,0.0266059,5,0.1585378,0.0641057,0.0366094,0.0767368,0.0704539,0.023923,0.0288812,0.035328,0.1099142,0.0073695,0.2049468,0.0955827,0.0228889,2.07e-5,TRUE,0,7.0522142589988e-4,0.0107219195080244,rs2513059,-0.0145735,0.0079628,0.1646377,0.088,0.31672363650485436,0.011709141327623126,0.2215156964311726,0.21459111467473527,FALSE
AK2,T2D_GSMR,-0.068876,0.0264234,0.00914376,4,0.04658448142011835,17.22312,22.17845,3,4,6.359e-4,1.847e-4,5,-0.057387,0.0181251,5.041e-4,0.0621656,0.0774745,0.0403154,0.0452438,0.0661082,0.5125701,0.6530116,0.991111,0.4002745,0.0198088,2.97e-5,TRUE,0,0.999872748649247,1.03281118270227e-5,rs59902060,0.0092508,0.0099572,0.4213904,0.039,0.7002450912764004,0.6635333730321699,0.991111,0.5029107763113367,FALSE
AK4,T2D_GSMR,-0.0941841,0.0170992,3.62747e-8,6,1.1806105969072166e-6,6.137227,6.163597,3,4,0.1051214,0.1872594,5,-0.0991879,-0.0845545,-0.0952802,-0.0881836,0.0411431,0.0200565,0.0195631,0.0327268,0.0949487,2.49e-5,1.1e-6,0.0544013,0.0300601,5.69e-5,TRUE,0,0.0264625328251473,0.973321808981917,rs10789175,6.616e-4,0.0058276,0.916779,0.332,0.3038038417204301,1.0710608695652172e-4,9.3816091954023e-6,0.17395224602150539,TRUE
AKD1,T2D_GSMR,0.0351266,0.010443,7.69181e-4,16,0.006689543848484848,18.4395,21.72905,14,15,0.1874904,0.1151079,16,0.0138048,0.031479,0.0385517,0.0073825,0.0184787,0.0112145,0.0102893,0.0190246,0.4673878,0.0050007,1.791e-4,0.7034325,0.0889088,5.58e-5,TRUE,0,0.671562226319859,0.0024323924011903,rs7757895,0.0059616,0.0037723,0.1363457,0.191,0.6793374095984329,0.008413876190476191,6.419913043478261e-4,0.7694058820928519,FALSE
AKR1C2,T2D_GSMR,-0.0168813,0.00567165,0.00291628,28,0.019274311151430565,28.78207,28.87955,32,33,0.6302078,0.6725363,34,-0.0128391,-0.0094509,-0.0146577,-0.0207727,0.0074623,0.0064278,0.0046641,0.0100171,0.0949924,0.1414774,0.0016741,0.0459841,0.2879794,5.18e-5,TRUE,0,0.00289643703908441,0.0118563740688267,rs7893456,-4.84e-4,0.0015504,0.7569061,0.678,0.3038038417204301,0.1556356275759822,0.0037871408536585367,0.16530523333333333,FALSE
AKTIP,T2D_GSMR,-0.0570068,0.00741608,1.50712e-14,16,1.7532438e-12,144.787,153.2016,19,20,0,0,21,-0.0902672,-0.0652676,-0.0626773,-0.0699673,0.0306793,0.0085438,0.0159115,0.0157058,0.008363,0,8.18e-5,2.43e-4,0.1854545,3.644e-4,TRUE,0,1,7.30255896581076e-61,rs8049033,0.006908,0.0065739,0.3065229,<0.001,0.12927804166666668,0,3.4782578796561605e-4,0.020141927272727272,FALSE
AKIP1,T2D_GSMR,0.030611,0.00521309,4.30706e-9,42,1.7067851573221758e-7,87.11275,108.29677,42,43,5.4e-5,2e-7,44,0.0048475,0.0344296,0.0366497,0.0304586,0.0116779,0.0066913,0.0067344,0.0107964,0.6801841,3e-7,1e-7,0.007213,0.3734474,2.441e-4,TRUE,0,0.999999999999545,2.67135521537647e-13,rs2016942,0.0086198,0.0026972,0.0026471,<0.001,0.808161092393915,2.3935483870967743e-6,1.1415384615384615e-6,0.08920076666666667,FALSE
ALCAM,T2D_GSMR,0.0147844,0.00569144,0.00938597,37,0.047410411664,60.53681,64.79398,38,39,0.0114919,0.0058563,40,-0.0012001,0.0061555,0.0129714,-0.00201,0.0110842,0.008399,0.0070535,0.0135003,0.9143521,0.4636256,0.0659152,0.882409,0.2580816,1.087e-4,TRUE,0,0.0227330279610409,0.00113521827632864,rs2399047,0.0035627,0.0021794,0.1103669,0.006,0.9555623354929577,0.4751522033149172,0.07978642479608483,0.9125400390243903,FALSE
ALKBH3,T2D_GSMR,0.0627352,0.0167221,1.75692e-4,4,0.002001352070913462,21.99513,25.8316,3,4,6.54e-5,3.42e-5,5,-0.0057578,0.0476881,0.0642867,-0.0119622,0.1051577,0.0192202,0.0384917,0.0367182,0.9597771,0.013096,0.0948909,0.7609185,0.029453,5.75e-5,TRUE,0,0.954096208394691,0.0399638215827561,rs4755217,0.0117369,0.0162251,0.5217493,0.038,0.98077825,0.018886748299319727,0.11053225714285715,0.818764524057971,FALSE
ALG1L13P,T2D_GSMR,0.034687,0.0076318,5.49194e-6,13,1.0423680108216433e-4,32.41462,32.56254,12,13,0.0011938,0.0019813,14,0.0437407,0.0364768,0.0379322,0.0247848,0.0268191,0.0108234,0.0097803,0.021674,0.1288489,7.512e-4,1.051e-4,0.2734413,0.189601,9.32e-5,TRUE,0,0.98880819204455,0.0111917881758658,rs13270194,-0.0016991,0.0072607,0.8189206,0.005,0.3452409686486486,0.0018456635761589404,4.273106849315068e-4,0.3810205532394366,FALSE
ALKBH5,T2D_GSMR,-0.0986177,0.0143326,5.95772e-12,6,4.70213051e-10,8.753397,19.849075,4,5,0.0675678,0.0013339,6,0.0230075,-0.0899519,-0.0984607,-0.0549662,0.0568636,0.0162895,0.0242251,0.0337077,0.7064667,0,4.82e-5,0.163888,0.0466185,1.128e-4,TRUE,0,0.99124515436304,0.00875448483903721,rs2925138,-0.0232374,0.0103198,0.0874763,0.026,0.8269909837667454,0,2.242282131661442e-4,0.2789103119266055,FALSE
AMIGO1,T2D_GSMR,-0.0462371,0.0148296,0.0018215,9,0.013301022744795683,69.36827,73.29489,11,12,0,0,13,-0.0546393,-0.0438825,-0.0176778,-0.0766777,0.0547674,0.0150642,0.0279298,0.0299397,0.339884,0.0035794,0.5267752,0.0249522,0.0501545,1.006e-4,TRUE,0,0.9916962012051,1.4607436005587e-4,rs534135,0.0060311,0.0076431,0.4467354,<0.001,0.5778199633447881,0.006423010399032648,0.5398718209944752,0.14120205839416058,FALSE
ALOX5AP,T2D_GSMR,-0.0207143,0.00641002,0.00123118,24,0.00982390844987363,19.55173,21.13601,22,23,0.6110575,0.5727816,24,-0.036019,-0.0245561,-0.0222431,-0.0256918,0.0127794,0.010194,0.0065976,0.0167356,0.0100056,0.0160014,7.479e-4,0.1383884,0.1575246,4.35e-5,TRUE,0,0.00142889955952457,0.0195792758313324,rs12429692,0.0032616,0.0025913,0.2213384,0.568,0.14124794444444444,0.022529485388994307,0.002040227205882353,0.2547994858560794,FALSE
ALS2CL,T2D_GSMR,0.0948898,0.0252269,1.68933e-4,7,0.001958340811505508,15.79833,26.13821,4,5,0.0033021,8.39e-5,6,-0.0239796,0.0632846,0.0990051,0.0911779,0.0871733,0.0340882,0.0491041,0.0617734,0.7968792,0.0633826,0.0437761,0.1999685,0.0159938,7.06e-5,TRUE,0,0.93792170739032,0.0522970502185598,rs4683269,0.0122598,0.0075771,0.1809695,0.012,0.8906479665662649,0.07524782272,0.055199378419711134,0.307516325388601,FALSE
AMDHD1,T2D_GSMR,-0.0171419,0.00471471,2.77088e-4,47,0.00292890675,62.15523,64.09129,48,49,0.0823245,0.0725572,50,-0.0091172,-0.0211306,-0.0191411,-0.0224697,0.0097187,0.0070609,0.0052463,0.0119315,0.3528848,0.0027659,2.638e-4,0.0656125,0.3397418,1.104e-4,TRUE,0,0.999994401318174,2.07916359470381e-8,rs7486703,-0.0023964,0.0019599,0.2273899,0.072,0.5912032063063063,0.005242139974457216,8.661044247787611e-4,0.18797094594594596,FALSE
